report_date,market_index
2009-01-01,88.77575757575757
2009-02-01,86.58181818181818
2009-03-01,86.21060606060605
2009-04-01,86.64999999999999
2009-05-01,86.87121212121212
2009-06-01,86.98636363636365
2009-07-01,88.7439393939394
2009-08-01,88.4151515151515
2009-09-01,88.07878787878788
2009-10-01,87.92121212121212
2009-11-01,88.10303030303031
2009-12-01,87.45454545454545
2010-01-01,80.99242424242425
2010-02-01,85.43636363636364
2010-03-01,85.13333333333334
2010-04-01,84.93939393939394
2010-05-01,85.0530303030303
2010-06-01,84.71969696969697
2010-07-01,86.21212121212122
2010-08-01,85.91818181818182
2010-09-01,83.39242424242424
2010-10-01,84.48030303030303
2010-11-01,85.03484848484848
2010-12-01,82.61969696969696
2011-01-01,84.03030303030303
2011-02-01,83.48333333333333
2011-03-01,82.97727272727273
2011-04-01,83.06363636363636
2011-05-01,81.98484848484848
2011-06-01,82.51060606060605
2011-07-01,81.89090909090909
2011-08-01,80.95757575757575
2011-09-01,82.31363636363636
2011-10-01,82.97727272727273
2011-11-01,82.04545454545455
2011-12-01,82.80757575757576
